source_id,legacy_work_key,original_path,original_sha1,original_lines,segment_no,start_line,end_line,extract_id,extract_role,extract_path,extract_body_sha1
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,21,1397,1478,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,22,1479,1560,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,23,1561,1663,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,24,1664,1755,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,25,1756,1852,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,26,1853,1856,LX-WS-0064-RES-05,RESEARCH,records/history/archive/LX-WS-0064-RES-05_LEGACY.md,DC506E3BA6AD0E542F548B65C70EFE66EF06B887
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,27,1857,1921,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,28,1922,2100,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,29,2101,2191,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,30,2192,2257,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,31,2258,2324,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,32,2325,2389,LX-WS-0064-RES-05,RESEARCH,records/history/archive/LX-WS-0064-RES-05_LEGACY.md,DC506E3BA6AD0E542F548B65C70EFE66EF06B887
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,33,2390,2453,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,34,2454,2517,LX-WS-0064-DEC-01,DECISION,records/decisions/LX-WS-0064-DEC-01_LEGACY.md,159A2058EE96A0E99478B2F6833FE7573D31B3ED
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,35,2518,2581,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,36,2582,2643,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,37,2644,2698,LX-WS-0064-DEC-01,DECISION,records/decisions/LX-WS-0064-DEC-01_LEGACY.md,159A2058EE96A0E99478B2F6833FE7573D31B3ED
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,38,2699,2755,LX-WS-0064-RES-05,RESEARCH,records/history/archive/LX-WS-0064-RES-05_LEGACY.md,DC506E3BA6AD0E542F548B65C70EFE66EF06B887
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,39,2756,2811,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,40,2812,2867,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,41,2868,2931,LX-WS-0064-RES-05,RESEARCH,records/history/archive/LX-WS-0064-RES-05_LEGACY.md,DC506E3BA6AD0E542F548B65C70EFE66EF06B887
