candidate_code,role,min_dv20_idr,max_dv20_idr,min_vol_ratio,max_vol_ratio,min_atr14_pct,max_atr14_pct,top_max_score_total,retained_trade_count,retained_days_covered,avg_ret_net,win_rate,median_ret_net,p25_ret_net,month_win_rate_min,month_avg_ret_net_min,periods_count,negative_month_count,stop_rate,target_rate
C171_DRAFT_A_BROAD_MODERATE_SCORE_CAP,primary_quality_candidate,1000000000,50000000000,1.2,5.0,0.02,0.075,0.98,200,163,0.032372845,0.555,0.0352805,-0.062984,0.0,-0.09203166666666666,27,7,0.335,0.435
C171_DRAFT_B_BROAD_SAMPLE_RECOVERY,coverage_recovery_candidate,1000000000,50000000000,1.2,5.0,0.02,0.075,1.0,292,231,0.023980342465753424,0.5171232876712328,0.0143755,-0.07221025,0.14285714285714285,-0.058902857142857146,27,9,0.3801369863013699,0.410958904109589
C171_DRAFT_C_MID_LIQ_LOW_ATR_SCORE_CAP,mid_liquidity_quality_candidate,2500000000,50000000000,1.5,5.0,0.02,0.06,0.999999,166,149,0.02354784337349398,0.5240963855421686,0.013855,-0.0644125,0.2,-0.04970133333333334,27,9,0.3795180722891566,0.41566265060240964
C171_DRAFT_D_LOW_ATR_BALANCED,low_atr_balanced_candidate,1000000000,50000000000,1.2,5.0,0.02,0.06,0.999999,184,160,0.024343331521739127,0.532608695652174,0.015908,-0.06298424999999999,0.2,-0.04970133333333334,27,8,0.3695652173913043,0.41304347826086957
C171_DRAFT_E_LOWER_VOLUME_BALANCED,volume_spike_avoidance_candidate,1000000000,50000000000,1.2,3.0,0.02,0.075,0.98,132,119,0.03251952272727273,0.5454545454545454,0.033859,-0.068937,0.0,-0.09203166666666666,26,8,0.3409090909090909,0.4393939393939394
