catalog_version,catalog_code,catalog_hash,catalog_count,valid_count,failed_count,minimum_trade_count_passed,minimum_coverage_passed,average_return_positive_passed,median_return_non_negative_passed,p25_downside_bound_passed,monthly_win_rate_floor_passed,monthly_average_floor_passed,picks_count_range,avg_ret_net_top_range,median_ret_net_top_range,p25_ret_net_top_range,month_win_rate_min_range,month_avg_ret_net_min_range,failure_reason_distribution,artifact_hash,oos_executed,production_ready
C01,WS_BT_GRID_DOWNSIDE_STABILITY_C01_2026_06,604ac98f6f193a4c317d4f25582deada84682846,8,0,8,8,8,0,0,0,0,0,1382..1435,-0.4233%..-0.1727%,-3.4729%..-1.9922%,-6.2986%..-4.4179%,14.0351%..22.8070%,-3.2685%..-2.0636%,WS_BT_EVAL_DOWNSIDE_FAIL=8|WS_BT_EVAL_ROBUST_RETURN_FAIL=8|WS_BT_EVAL_STABILITY_FAIL=8,c8505ce5a9045629234a685984d9138b3990c775,0,0
C02,WS_BT_GRID_DOWNSIDE_STABILITY_C02_2026_06,7287c438e15bd03d6beb4796e4d5159ecd8ed59a,8,0,8,8,8,2,0,0,0,0,1360..1435,-0.1727%..0.1810%,-2.1046%..-1.7164%,-5.5866%..-4.9668%,14.0351%..23.2143%,-3.2757%..-1.9229%,WS_BT_EVAL_DOWNSIDE_FAIL=8|WS_BT_EVAL_ROBUST_RETURN_FAIL=8|WS_BT_EVAL_STABILITY_FAIL=8,81da37a1c526cf71c096a4be6fc8623b013ae3a2,0,0
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,10,0,10,10,10,1,0,0,0,0,1104..1432,-0.3368%..0.1810%,-1.7640%..-1.0634%,-5.4058%..-3.7924%,10.0000%..20.6897%,-3.2757%..-2.1550%,WS_BT_EVAL_DOWNSIDE_FAIL=10|WS_BT_EVAL_ROBUST_RETURN_FAIL=10|WS_BT_EVAL_STABILITY_FAIL=10,649e8fead0c57262307f749a4776f053f5ccd0f8,0,0
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,10,0,10,3,10,5,0,0,0,0,82..176,-0.3039%..0.4019%,-1.2712%..-0.0501%,-3.8881%..-3.0868%,0.0000%..0.0000%,-11.2412%..-5.9181%,WS_BT_EVAL_DOWNSIDE_FAIL=10|WS_BT_EVAL_MIN_TRADES_FAIL=7|WS_BT_EVAL_ROBUST_RETURN_FAIL=10|WS_BT_EVAL_STABILITY_FAIL=10,fe964ee879dddc8aa8a83372e8c2d05aed5e8259,0,0
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,12,0,12,12,12,2,0,0,0,0,370..886,-0.5847%..0.0719%,-1.6122%..-0.7301%,-4.0209%..-3.2708%,0.0000%..18.7500%,-3.7266%..-1.9985%,WS_BT_EVAL_DOWNSIDE_FAIL=12|WS_BT_EVAL_ROBUST_RETURN_FAIL=12|WS_BT_EVAL_STABILITY_FAIL=12,f8288cb2d395e397f433dae854c0ad80b4650a8d,0,0
C06,WS_BT_GRID_DOWNSIDE_STABILITY_C06_2026_06,6c93d67fb77319a02cecc3d96fd99bb0e139a1ac,12,0,12,3,12,4,2,7,0,0,9..214,-0.7016%..1.4133%,-1.6757%..1.6637%,-3.4390%..-0.6101%,0.0000%..0.0000%,-6.3776%..-3.4390%,WS_BT_EVAL_DOWNSIDE_FAIL=5|WS_BT_EVAL_MIN_TRADES_FAIL=9|WS_BT_EVAL_ROBUST_RETURN_FAIL=10|WS_BT_EVAL_STABILITY_FAIL=12,ede8ca6f53ea49141a5e047e6094b7a282cdb232,0,0
C07,WS_BT_GRID_DOWNSIDE_STABILITY_C07_2026_06,233b45b06cbf34da221d5d7de2d9725fdf4d3441,12,0,12,12,12,0,0,0,0,0,728..1355,-0.4106%..-0.2499%,-1.0279%..-0.6993%,-4.0156%..-3.4276%,17.8571%..25.0000%,-2.2808%..-1.4503%,WS_BT_EVAL_DOWNSIDE_FAIL=12|WS_BT_EVAL_ROBUST_RETURN_FAIL=12|WS_BT_EVAL_STABILITY_FAIL=12,c562d0a37ec7911c17c50072413fbbae25bb6114,0,0
C14,WS_BT_GRID_DOWNSIDE_STABILITY_C14_2026_06,079430de7c94fd0226d0f3b47d5eb1e9f906fd6a,12,0,12,12,12,0,0,5,0,0,729..1359,-0.5216%..-0.3528%,-1.5648%..-0.4848%,-3.5375%..-2.6583%,14.8148%..30.7692%,-2.5674%..-1.4889%,WS_BT_EVAL_DOWNSIDE_FAIL=7|WS_BT_EVAL_ROBUST_RETURN_FAIL=12|WS_BT_EVAL_STABILITY_FAIL=12,70d021daafc254fb2ed826ff05015d42bac5dd8d,0,0
