catalog_version,catalog_code,catalog_hash,param_id,row_code,calibration_valid,status,reason_codes,picks_count,trade_count,coverage_days,avg_ret_net_top,median_ret_net_top,p25_ret_net_top,month_win_rate_min,month_avg_ret_net_min,win_rate_top
C02,WS_BT_GRID_DOWNSIDE_STABILITY_C02_2026_06,7287c438e15bd03d6beb4796e4d5159ecd8ed59a,49,04_LOW_ATR_MID_ROC_STABILITY,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1430,1430,508,-0.0016524179494691801,-0.01788830104906284,-0.04966823652279287,0.175,-0.027632737489929872,0.3944055944055944
C02,WS_BT_GRID_DOWNSIDE_STABILITY_C02_2026_06,7287c438e15bd03d6beb4796e4d5159ecd8ed59a,50,05_VOLUME_NOT_SPIKE_RISK_FIRST,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1431,1431,508,-0.0010300214927098995,-0.017639689300927085,-0.05213651605713707,0.14285714285714285,-0.03248187663431029,0.3969252271139064
C02,WS_BT_GRID_DOWNSIDE_STABILITY_C02_2026_06,7287c438e15bd03d6beb4796e4d5159ecd8ed59a,51,06_BROAD_SAMPLE_NEAR_BREAKOUT,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1425,1425,508,0.001809843340027377,-0.017164366373902132,-0.054058108716307444,0.14035087719298245,-0.03275722086719583,0.4182456140350877
C02,WS_BT_GRID_DOWNSIDE_STABILITY_C02_2026_06,7287c438e15bd03d6beb4796e4d5159ecd8ed59a,52,07_STABILITY_PROXY_SECTOR_REVIEW,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1423,1423,507,-0.0006935692525743626,-0.01835303065176275,-0.05566218025621737,0.23214285714285715,-0.019229328947913654,0.4026704146170063
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,53,00_C02_BEST_AVG_REFERENCE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1425,1425,508,0.001809843340027377,-0.017164366373902132,-0.054058108716307444,0.14035087719298245,-0.03275722086719583,0.4182456140350877
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,54,01_HIGH_SCORE_LOW_ATR_MID_ROC,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1401,1401,508,-0.0021751708443216366,-0.013743291367808597,-0.04140368593789447,0.1724137931034483,-0.025486026366799443,0.39400428265524623
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,55,02_STABILITY_PROXY_TIGHTENED,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1409,1409,508,-0.002363257565593473,-0.017639689300927085,-0.04967070534412548,0.17543859649122806,-0.028359672041102305,0.39176721078779275
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,56,03_DOWNSIDE_P25_LOW_ATR_STRICT_Q,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1363,1363,508,-0.002232261163986988,-0.011609604491453205,-0.03895182011777527,0.15517241379310345,-0.02445467273204698,0.3903154805575935
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,57,04_ANTI_CHASE_CLOSE_BREAKOUT,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1104,1104,503,-0.0017693539352643935,-0.014102115317297595,-0.045292015824932745,0.1,-0.032622010654348214,0.39945652173913043
C03,WS_BT_GRID_DOWNSIDE_STABILITY_C03_2026_06,29e15ceab1b3f7dc31a21f339ac6ab7483e14800,58,05_MODERATE_VOLUME_NO_SPIKE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,1432,1432,508,-0.0023214701923479366,-0.015260757482878372,-0.045361237670855654,0.13793103448275862,-0.029658680447523744,0.3952513966480447
