legacy_source_id,original_path,current_primary_path,role,sha1
LS-MD-0129,db/Publication_Current_Pointer_Switch_Procedure_LOCKED.sql,development/implementation/db/Publication_Current_Pointer_Switch_Procedure_LOCKED.sql,IMPLEMENTATION_DB,1B83F36970439506F3A0E15FC916D32C5CAC3EE0
LS-MD-0130,db/Publication_Switch_Procedure_LOCKED.sql,development/implementation/db/Publication_Switch_Procedure_LOCKED.sql,IMPLEMENTATION_DB,0277FD5D907CA8CF94032A3F2F8A25FC88EEEAFB
LS-MD-0131,db/README.md,development/implementation/db/README.md,IMPLEMENTATION_DB,47708F02975C4C5F5BF8CA05471CC15DC15014E4
LS-MD-0132,db/Schema_Enforcement_Notes_LOCKED.md,development/implementation/db/Schema_Enforcement_Notes_LOCKED.md,IMPLEMENTATION_DB,2A8D3FBE29C66A935B11DEFA6B7762B350278E6E
LS-MD-0126,db/migrations/.gitkeep,development/implementation/db/migrations/.gitkeep,IMPLEMENTATION_DB,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709
LS-MD-0141,evidence/README.md,records/history/archive/evidence/README.md,HISTORY,B860FEE49ADB246B224A794CCB9E4F6D2376BA2B
LS-MD-0133,evidence/corporate_actions/stage_6_ksei_stock_split_terms_v1.json,records/evidence/legacy/corporate_actions/stage_6_ksei_stock_split_terms_v1.json,EVIDENCE,257A89B441785BECD9AA5BF43986B29CAD196557
LS-MD-0134,evidence/corrections/correction_9001/correction_diff.json,records/evidence/legacy/corrections/correction_9001/correction_diff.json,EVIDENCE,D37FADDA3F2EF6B93FD90CCCF321F79EAE43E861
LS-MD-0135,evidence/corrections/correction_9001/correction_request.json,records/evidence/legacy/corrections/correction_9001/correction_request.json,EVIDENCE,BE5177E98E327C155BDA9C7DB29C49B5F301F73B
LS-MD-0136,evidence/corrections/correction_9001/evidence_admission.json,records/evidence/legacy/corrections/correction_9001/evidence_admission.json,EVIDENCE,D52E0FAA441ED43D23BA58F18746EE9F1E30A349
LS-MD-0137,evidence/corrections/correction_9001/new_publication_manifest.json,records/evidence/legacy/corrections/correction_9001/new_publication_manifest.json,EVIDENCE,247E0F0543B254087C85275DB1F4E6A17CE247F5
LS-MD-0138,evidence/corrections/correction_9001/prior_publication_manifest.json,records/evidence/legacy/corrections/correction_9001/prior_publication_manifest.json,EVIDENCE,F98B3F84778047E6715620DE10B04D01B670E27C
LS-MD-0139,evidence/corrections/correction_9001/publication_switch_result.json,records/evidence/legacy/corrections/correction_9001/publication_switch_result.json,EVIDENCE,F606E357A8CECD0A2405E7F3881069D4EFB8C46F
LS-MD-0140,evidence/market_structure/stage_7_idx_regular_market_structure_v1.json,records/evidence/legacy/market_structure/stage_7_idx_regular_market_structure_v1.json,EVIDENCE,DABC0F49F07C036EFBA843C83689F0C150F7203E
LS-MD-0142,evidence/replays/replay_3001/evidence_admission.json,records/evidence/legacy/replays/replay_3001/evidence_admission.json,EVIDENCE,9229F08A452A5CF09EDB5541745876E81DB7E4F2
LS-MD-0143,evidence/replays/replay_3001/replay_reason_code_counts.json,records/evidence/legacy/replays/replay_3001/replay_reason_code_counts.json,EVIDENCE,1DCA531AF0133030D8017BCB5356DCB9B68C73C4
LS-MD-0144,evidence/replays/replay_3001/replay_result.json,records/evidence/legacy/replays/replay_3001/replay_result.json,EVIDENCE,2898B1F4294B472FAB5758DB5BDE00F605E66231
LS-MD-0145,evidence/runs/run_8124/anomaly_report.md,records/evidence/legacy/runs/run_8124/anomaly_report.md,EVIDENCE,4530DD5050EB86611B25514ED0175A87BA3E6A35
LS-MD-0146,evidence/runs/run_8124/eligibility_export.csv,records/evidence/legacy/runs/run_8124/eligibility_export.csv,EVIDENCE,C9E0283820FACE57D99E2B1D18B4CF8DCC53D944
LS-MD-0147,evidence/runs/run_8124/evidence_admission.json,records/evidence/legacy/runs/run_8124/evidence_admission.json,EVIDENCE,88252AB44FAF9ACBD00C27BAF3F88F9BD55B8E3C
LS-MD-0148,evidence/runs/run_8124/publication_manifest.json,records/evidence/legacy/runs/run_8124/publication_manifest.json,EVIDENCE,9904B6A00296A069C707261ADA5F662494E59C71
LS-MD-0149,evidence/runs/run_8124/run_event_summary.json,records/evidence/legacy/runs/run_8124/run_event_summary.json,EVIDENCE,91A882B942EC3458ADC92EB544280A99C8991C7D
LS-MD-0150,evidence/runs/run_8124/run_summary.json,records/evidence/legacy/runs/run_8124/run_summary.json,EVIDENCE,053D70D0F839301102E9DC29EDA2920ABA03D3E0
LS-MD-0151,evidence/runs/run_8131_requested_date_failed/blocked_reason_code_counts.json,records/evidence/legacy/runs/run_8131_requested_date_failed/blocked_reason_code_counts.json,EVIDENCE,A92CA2CD4FAF91DED51498517071983B64F1D3DA
LS-MD-0152,evidence/runs/run_8131_requested_date_failed/evidence_admission.json,records/evidence/legacy/runs/run_8131_requested_date_failed/evidence_admission.json,EVIDENCE,16E895B3EA739E6ACEC6965A3722952690C3014C
LS-MD-0153,evidence/runs/run_8131_requested_date_failed/failure_report.md,records/evidence/legacy/runs/run_8131_requested_date_failed/failure_report.md,EVIDENCE,5E109993D80A782BEC3D848E9B1A1F81B18BEF73
LS-MD-0154,evidence/runs/run_8131_requested_date_failed/run_event_summary.json,records/evidence/legacy/runs/run_8131_requested_date_failed/run_event_summary.json,EVIDENCE,C506C7375B1FEFA40F083D00233B6B59041D09B0
LS-MD-0155,evidence/runs/run_8131_requested_date_failed/run_summary.json,records/evidence/legacy/runs/run_8131_requested_date_failed/run_summary.json,EVIDENCE,360083E6F10181835EE996D41E4B43C046014317
LS-MD-0156,evidence/tests/correction_failed_reseal_no_switch/evidence_admission.json,records/evidence/legacy/tests/correction_failed_reseal_no_switch/evidence_admission.json,EVIDENCE,FA112F5B15891E4AB581D38EBD87D206CC25AF63
LS-MD-0157,evidence/tests/correction_failed_reseal_no_switch/test_result.json,records/evidence/legacy/tests/correction_failed_reseal_no_switch/test_result.json,EVIDENCE,366BD81F514E4907F44106CF0FF712349FE88FF0
LS-MD-0158,evidence/tests/hash_same_content_same_hash/evidence_admission.json,records/evidence/legacy/tests/hash_same_content_same_hash/evidence_admission.json,EVIDENCE,4E7B7407F4173C42FE99933AFFD2881F47FEB33E
LS-MD-0159,evidence/tests/hash_same_content_same_hash/test_result.json,records/evidence/legacy/tests/hash_same_content_same_hash/test_result.json,EVIDENCE,7D0C28745A34FDA548145F8815DAA61FB9C27D62
LS-MD-0160,evidence/trading_status/stage_8_idx_long_suspension_2026-06-30_v1.json,records/evidence/legacy/trading_status/stage_8_idx_long_suspension_2026-06-30_v1.json,EVIDENCE,6041F2B02E634B5BF4B7C0B40CB05C6C860FF0C6
LS-MD-0161,examples/ARCHIVED_EVIDENCE_FOLDER_STRUCTURE_LOCKED.md,development/implementation/examples/legacy/ARCHIVED_EVIDENCE_FOLDER_STRUCTURE_LOCKED.md,IMPLEMENTATION_EXAMPLE,0747973DD748927D6E1C17BC3A9E113303CA2088
LS-MD-0162,examples/Executed_Correction_Diff_Example_LOCKED.md,development/implementation/examples/legacy/Executed_Correction_Diff_Example_LOCKED.md,IMPLEMENTATION_EXAMPLE,1F6536676CCFF853D81B8AE312F94BD462009036
LS-MD-0163,examples/Executed_Publication_Manifest_Example_LOCKED.md,development/implementation/examples/legacy/Executed_Publication_Manifest_Example_LOCKED.md,IMPLEMENTATION_EXAMPLE,9B3E5CEFC7EFCD9747A8CC0BA7234505B2EF6084
LS-MD-0164,examples/Executed_Replay_Evidence_Example_LOCKED.md,development/implementation/examples/legacy/Executed_Replay_Evidence_Example_LOCKED.md,IMPLEMENTATION_EXAMPLE,3ABBA7451A677E45997570F2C790D08B70AED6E1
LS-MD-0165,examples/Executed_Run_Evidence_Bundle_Example_LOCKED.md,development/implementation/examples/legacy/Executed_Run_Evidence_Bundle_Example_LOCKED.md,IMPLEMENTATION_EXAMPLE,4B56A967C1CFC88A1E0A14C5FB1708DA2E0EC6D6
LS-MD-0166,examples/Executed_Test_Run_Example_LOCKED.md,development/implementation/examples/legacy/Executed_Test_Run_Example_LOCKED.md,IMPLEMENTATION_EXAMPLE,E522346D7BF4A12FB61223ABEC95DA9CAB33E12E
